slope,slope_LC,slope_UC,intercept,intercept_LC,intercept_UC,Rsq,E,%E,E_Poor,target,source,LOD,LOQ
-3.49844293,-3.5887164,-3.40816945,40.88604373,40.54387014,41.22821732,0.99746,1.931,93.1,0,coho,20201021_Scott_Creek_Okisutch_Chloe_P1_results.csv,,
-3.59095953,-3.82111574,-3.36080332,41.3589088,40.46257913,42.25523848,0.98559,1.899,89.9,1,coho,20201021_Scott_Creek_Okisutch_Kevan_P1_results.csv,,
-3.60614468,-3.77930889,-3.43298048,41.35607144,40.73004525,41.98209764,0.9901,1.894,89.4,1,coho,20201022_Scott_Creek_Okisutch_Kevan_P1_results.csv,,
-3.4142185,-3.45916137,-3.36927564,40.44696668,40.28448848,40.60944488,0.99925,1.963,96.3,0,coho,20201026_Scott_Creek_Okisutch_Chloe_P1_results.csv,,
-3.51528133,-3.62242228,-3.40814037,41.04186377,40.65452596,41.42920157,0.99599,1.925,92.5,0,coho,20201027_Scott_Creek_Okisutch_Chloe_P1_results.csv,,
-3.43087536,-3.52624984,-3.33550088,40.52314124,40.17834181,40.86794068,0.99666,1.956,95.6,0,coho,20201027_Scott_Creek_Okisutch_Kevan_P1_results.csv,,
-3.43629792,-3.52307728,-3.34951855,40.60891422,40.28772674,40.9301017,0.99741,1.954,95.4,0,coho,20201027_Scott_Creek_Okisutch_Kevan_P2_results.csv,,
-2.86679779,-3.56703242,-2.16656315,38.12293643,35.50060593,40.74526693,0.81443,2.233,123.3,1,coho,20201028_Scott_Creek_Okisutch_Chloe_P1_results.csv,,
-3.58867562,-3.78427517,-3.39307606,41.11940939,40.35765856,41.88116023,0.98953,1.9,90.0,0,coho,20201028_Scott_Creek_Okisutch_Kevan_P1_results.csv,,
-3.73589676,-3.8558547,-3.61593882,42.39423046,41.91439871,42.87406221,0.99661,1.852,85.2,1,coho,20201029_Scott_Creek_Okisutch_Chloe_P1_results.csv,,
-3.71143821,-3.78455718,-3.63831923,42.32009977,42.03534228,42.60485725,0.99862,1.86,86.0,1,coho,20201029_Scott_Creek_Okisutch_Chloe_P2_results.csv,,
-3.6191582,-3.75483136,-3.48348505,41.37221407,40.85747551,41.88695264,0.99466,1.889,88.9,1,coho,20201102_Scott_Creek_Okisutch_Chloe_P1.csv,,
-3.47107725,-3.59725406,-3.34490044,40.60562896,40.14947241,41.06178551,0.9943,1.941,94.1,0,coho,20201103_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-4.37981491,-4.5507501,-4.20887973,46.00560913,45.26051993,46.75069833,0.99616,1.692,69.2,1,coho,20201104_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.56126151,-3.64280141,-3.4797216,41.43952519,41.13016603,41.74888436,0.998,1.909,90.9,0,coho,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.61087084,-3.81000554,-3.41173613,41.31314226,40.57610559,42.05017893,0.98775,1.892,89.2,1,coho,20201109_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.50277465,-3.64165289,-3.36389642,41.28418035,40.77016469,41.79819601,0.99363,1.93,93.0,0,coho,20201110_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.50424484,-3.62446054,-3.38402915,41.02162792,40.56553435,41.4777215,0.99553,1.929,92.9,0,coho,20201111_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.59665669,-3.73261453,-3.46069886,38.95762935,38.46611226,39.44914643,0.99384,1.897,89.7,1,coho,20201112_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.5909862,-3.79467909,-3.38729332,41.38121132,40.62730392,42.13511872,0.98705,1.899,89.9,1,coho,20201112_Scott_Creek_Okisutch_Chloe_P2_data.csv,,
-3.6489294,-3.7682567,-3.52960209,39.33653475,38.87182168,39.80124783,0.99621,1.88,88.0,1,coho,20201116_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.70006374,-3.82914432,-3.57098316,42.2740726,41.78480413,42.76334106,0.99537,1.863,86.3,1,coho,20201116_Scott_Creek_Okisutch_Chloe_P2_data.csv,,
-3.47299098,-3.57600945,-3.3699725,41.00174117,40.62930702,41.37417532,0.9962,1.941,94.1,0,coho,20201117_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.49045816,-3.67716222,-3.3037541,38.14467357,37.45364514,38.835702,0.98847,1.934,93.4,0,coho,20201117_Scott_Creek_Okisutch_Kevan_P1_results.xls,,
-3.43873669,-3.54307865,-3.33439473,40.49347349,40.11625466,40.87069232,0.99602,1.953,95.3,0,coho,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.48877674,-3.62183825,-3.35571523,40.76747768,40.28643146,41.2485239,0.99373,1.935,93.5,0,coho,20201118_Scott_Creek_Okisutch_Kevan_P1_results.xls,,
-3.21566293,-3.30632456,-3.1250013,38.50762942,38.17986796,38.83539089,0.99656,2.046,104.6,0,coho,20201119_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.49135724,-3.66684605,-3.31586844,40.24779033,39.61336021,40.88222046,0.98916,1.934,93.4,0,coho,20201123_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.41464468,-3.47236799,-3.35692138,40.44700639,40.23832412,40.65568866,0.99876,1.963,96.3,0,coho,20201124_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.50336237,-3.59541623,-3.4113085,41.03420935,40.70141466,41.36700404,0.99701,1.929,92.9,0,coho,20201207_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.47101536,-3.59569529,-3.34633542,40.53357128,40.08282625,40.98431631,0.99444,1.941,94.1,0,coho,20201210_Scott_Creek_Okisutch_Chloe_P1_data.csv,,
-3.46423844,-3.5827965,-3.34568038,40.73899489,40.30018821,41.17780158,0.99525,1.944,94.4,0,coho,20210202_Scott_Creek_Okisutch_Kevan_P1_results.xls,,
-3.29215088,-3.38959707,-3.1947047,37.88719906,37.53490997,38.23948816,0.99621,2.013,101.3,0,coho,20210203_Scott_Creek_Okisutch_Kevan_P1_data.xls,,
-3.50780385,-3.61090886,-3.40469884,41.29726992,40.91565803,41.67888182,0.99649,1.928,92.8,0,coho,20210203_Scott_Creek_Okisutch_Kevan_P2_data.xls,,
-3.41081095,-3.50956193,-3.31205997,40.74190692,40.36760011,41.11621373,0.99681,1.964,96.4,0,coho,20210204_Scott_Creek_Okisutch_Kevan_P1_data.xls,,
-3.48156032,-3.57926485,-3.3838558,41.10633371,40.75311063,41.45955679,0.9966,1.937,93.7,0,coho,20210204_Scott_Creek_Okisutch_Kevan_P2_data.xls,,
-3.461431,-3.5013456,-3.42151641,40.59291503,40.4447278,40.74110226,0.96568,1.945,94.5,0,coho,combined,11.198529449442198,11.198529449442198
-3.40572932,-3.49635948,-3.31509916,39.68102081,39.33717358,40.02486803,0.9973,1.966,96.6,0,trout,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.47503419,-3.65865947,-3.29140891,40.41765676,39.73865816,41.09665537,0.98874,1.94,94.0,0,trout,20200930_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.4847014,-3.63943395,-3.32996886,38.16566387,37.59296832,38.73835942,0.99202,1.936,93.6,0,trout,20201001_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.4053268,-3.60626175,-3.20439184,39.38322221,38.65679873,40.10964568,0.98512,1.966,96.6,0,trout,20201001_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.39296151,-3.49249147,-3.29343155,38.66509296,38.30527054,39.02491537,0.99628,1.971,97.1,0,trout,20201005_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.4704193,-3.62968735,-3.31115125,39.65207966,39.07629109,40.22786823,0.99095,1.942,94.2,0,trout,20201005_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.40729663,-3.50575141,-3.30884184,39.3592305,38.98569696,39.73276405,0.99682,1.966,96.6,0,trout,20201006_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.5237959,-3.60495125,-3.44264055,39.90441654,39.60404464,40.20478844,0.99784,1.922,92.2,0,trout,20201007_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.47752765,-3.54693335,-3.40812196,39.67806108,39.41473862,39.94138353,0.99848,1.939,93.9,0,trout,20201007_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.71382073,-3.81527305,-3.61236841,41.29680887,40.91226286,41.68135487,0.99716,1.859,85.9,1,trout,20201008_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.84989479,-4.14439268,-3.55539689,41.48011326,40.30322969,42.65699683,0.98105,1.819,81.9,1,trout,20201012_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.7264062,-3.84276231,-3.61005009,41.0920935,40.61322768,41.57095932,0.99704,1.855,85.5,1,trout,20201013_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.58373202,-3.709488,-3.45797603,40.52793619,40.03864596,41.01722642,0.99564,1.901,90.1,0,trout,20201014_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.65886294,-3.84563178,-3.4720941,40.26257371,39.53657751,40.98856991,0.99081,1.876,87.6,1,trout,20201015_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-4.13708814,-4.34424676,-3.92992952,43.21035462,42.33145503,44.0892542,0.99306,1.745,74.5,1,trout,20201019_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.65825942,-3.81615819,-3.50036064,40.73807007,40.10647497,41.36966518,0.99389,1.877,87.7,1,trout,20201020_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.39281723,-3.56988167,-3.21575279,39.37551323,38.7043662,40.04666027,0.98971,1.971,97.1,0,trout,20201021_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.49983539,-3.86476372,-3.13490706,39.16794655,37.8374451,40.498448,0.96535,1.931,93.1,0,trout,20201021_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.41659604,-3.61932959,-3.21386249,39.99334412,39.15977795,40.8269103,0.9894,1.962,96.2,0,trout,20201022_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.65759703,-3.81789539,-3.49729868,40.75996783,40.13628047,41.3836552,0.99321,1.877,87.7,1,trout,20201026_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.65759703,-3.81789539,-3.49729868,40.75996783,40.13628047,41.3836552,0.99321,1.877,87.7,1,trout,20201027_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.55062674,-3.74028188,-3.36097159,40.18594549,39.51795178,40.8539392,0.99139,1.913,91.3,0,trout,20201027_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.53454901,-3.70885116,-3.36024686,40.15127881,39.52113872,40.78141891,0.98956,1.918,91.8,0,trout,20201027_Scott_Creek_Omykiss_Kevan_P2_results.csv,,
-3.64196691,-3.88816141,-3.39577241,40.54077614,39.60672398,41.4748283,0.98285,1.882,88.2,1,trout,20201028_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.5053424,-3.7214239,-3.28926089,40.07777979,39.21345377,40.94210582,0.98761,1.929,92.9,0,trout,20201028_Scott_Creek_Omykiss_Kevan_P1_results.csv,,
-3.82169311,-3.99549793,-3.64788828,41.88815811,41.21191988,42.56439633,0.99269,1.827,82.7,1,trout,20201029_Scott_Creek_Omykiss_Chloe_P1_results.csv,,
-3.38567987,-3.487569,-3.28379073,38.12386967,37.71669648,38.53104286,0.99702,1.974,97.4,0,trout,20201029_Scott_Creek_Omykiss_Chloe_P2_results.csv,,
-3.57228889,-3.69570229,-3.44887549,40.65477402,40.18742492,41.12212312,0.99546,1.905,90.5,0,trout,20201102_Scott_Creek_Omykiss_Chloe_P1.csv,,
-3.1958351,-3.46629986,-2.92537034,38.73286892,37.75508012,39.71065772,0.96987,2.055,105.5,0,trout,20201103_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-4.02616526,-4.27170847,-3.78062206,44.2992377,43.25748611,45.34098929,0.98975,1.772,77.2,1,trout,20201104_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.58772862,-3.8164396,-3.35901765,39.91209008,39.04436972,40.77981043,0.98472,1.9,90.0,0,trout,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.60242961,-3.82508381,-3.37977542,41.21826943,40.37510946,42.06142941,0.98562,1.895,89.5,1,trout,20201109_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.4985987,-3.72696785,-3.27022955,38.79149495,37.90295836,39.68003155,0.98506,1.931,93.1,0,trout,20201110_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.53696217,-3.7419877,-3.33193663,40.62292807,39.86408827,41.38176787,0.98648,1.917,91.7,0,trout,20201111_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.49674369,-3.66427824,-3.32920914,40.44160526,39.78976337,41.09344715,0.99189,1.932,93.2,0,trout,20201112_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.66202212,-3.88033665,-3.4437076,41.13210534,40.30460354,41.95960714,0.98661,1.875,87.5,1,trout,20201112_Scott_Creek_Omykiss_Chloe_P2_data.csv,,
-3.33655012,-3.62516793,-3.04793232,40.01368829,38.82587613,41.20150045,0.97773,1.994,99.4,0,trout,20201116_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.68194279,-3.78746719,-3.57641839,40.80064135,40.37854375,41.22273895,0.9973,1.869,86.9,1,trout,20201116_Scott_Creek_Omykiss_Chloe_P2_data.csv,,
-3.58987541,-3.71563349,-3.46411733,40.31692461,39.85190387,40.78194536,0.99502,1.899,89.9,1,trout,20201117_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.60975442,-3.71892111,-3.50058774,40.49660684,40.05528393,40.93792975,0.99722,1.892,89.2,1,trout,20201117_Scott_Creek_Omykiss_Kevan_P1_results.xls,,
-3.58528672,-3.76757576,-3.40299767,40.77692537,40.08532797,41.46852277,0.99022,1.901,90.1,0,trout,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.58409345,-3.79432882,-3.37385808,40.77387677,39.95666292,41.59109063,0.9879,1.901,90.1,0,trout,20201118_Scott_Creek_Omykiss_Kevan_P1_results.xls,,
-3.31408517,-3.4460489,-3.18212144,37.79493515,37.31785764,38.27201267,0.99317,2.003,100.3,0,trout,20201119_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.58208542,-3.80554515,-3.3586257,39.50704306,38.67997471,40.3341114,0.98438,1.902,90.2,0,trout,20201123_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.50985595,-3.61312076,-3.40659113,39.47149356,39.0592117,39.88377542,0.99715,1.927,92.7,0,trout,20201123_Scott_Creek_Omykiss_Kevan_P1_results.xls,,
-3.25075188,-3.40079604,-3.10070771,38.13885593,37.58351298,38.69419887,0.99139,2.031,103.1,0,trout,20201124_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.62311227,-3.74419004,-3.5020345,40.14010967,39.68117514,40.5990442,0.99575,1.888,88.8,1,trout,20201207_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.5330706,-3.64481488,-3.42132633,39.52026328,39.11628348,39.92424308,0.99568,1.919,91.9,0,trout,20201210_Scott_Creek_Omykiss_Chloe_P1_data.csv,,
-3.33551218,-3.50026321,-3.17076114,39.74075839,39.13098241,40.35053436,0.99015,1.994,99.4,0,trout,20210202_Scott_Creek_Omykiss_Kevan_P1_results.xls,,
-3.43498049,-3.51589229,-3.3540687,39.44508496,39.1456145,39.74455543,0.99774,1.955,95.5,0,trout,20210203_Scott_Creek_Omykiss_Kevan_P1_data.xls,,
-3.45684976,-3.55085821,-3.36284131,39.44676605,39.09882229,39.79470981,0.99699,1.947,94.7,0,trout,20210203_Scott_Creek_Omykiss_Kevan_P2_data.xls,,
-3.59004364,-3.67003038,-3.5100569,40.36027044,40.04876683,40.67177404,0.99824,1.899,89.9,1,trout,20210204_Scott_Creek_Omykiss_Kevan_P1_data.xls,,
-3.51783756,-3.65254109,-3.38313404,39.9915596,39.49299538,40.49012382,0.99406,1.924,92.4,0,trout,20210204_Scott_Creek_Omykiss_Kevan_P2_data.xls,,
-3.21239217,-3.52577898,-2.89900536,38.37713148,37.14689687,39.60736608,0.96953,2.048,104.8,0,trout,20210204_Scott_Creek_Omykiss_Kevan_P3_data.xls,,
-3.40738036,-3.52065542,-3.29410531,39.15751357,38.71987092,39.59515621,0.99523,1.966,96.6,0,trout,20210208_Scott_Creek_Omykiss_Kevan_P1_data.xls,,
-3.50207382,-3.53421481,-3.46993284,39.90599021,39.78335608,40.02862433,0.97813,1.93,93.0,0,trout,combined,28.343256052491604,28.343256052491604
