Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\Chloe\20201027_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-27 12:07:03 PM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,EXPFAIL
E11,SCr-338,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.84158325,30.74051857,0.269928157,514.9616699,554.2310181,97.58175659,FALSE,0.1,TRUE,3,28,,N,N
E12,SCr-338,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.94533157,30.74051857,0.269928157,482.401886,554.2310181,97.58175659,FALSE,0.1,TRUE,3,27,,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.89154434,38.1437912,0.356730938,10,,,FALSE,0.1,TRUE,3,34,,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.39603806,38.1437912,0.356730938,10,,,FALSE,0.1,TRUE,3,35,,N,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,38.1437912,0.356730938,10,,,FALSE,0.1,TRUE,3,39,,N,Y
F4,SCr-333,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.74700165,31.77453613,0.101050898,291.2217102,286.6000977,18.00298119,FALSE,0.1,TRUE,3,28,,N,N
F5,SCr-333,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.88650131,31.77453613,0.101050898,266.7368469,286.6000977,18.00298119,FALSE,0.1,TRUE,3,27,,N,N
F6,SCr-333,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.69010735,31.77453613,0.101050898,301.8417053,286.6000977,18.00298119,FALSE,0.1,TRUE,3,28,,N,N
F7,SCr-333-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.75035477,31.92386818,0.189931616,290.607605,261.7666626,30.81985664,FALSE,0.1,TRUE,3,28,,N,N
F8,SCr-333-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.89447021,31.92386818,0.189931616,265.4020386,261.7666626,30.81985664,FALSE,0.1,TRUE,3,29,,N,N
F9,SCr-333-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.12678909,31.92386818,0.189931616,229.2903442,261.7666626,30.81985664,FALSE,0.1,TRUE,3,28,,N,N
F10,SCr-338-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.66964722,33.02494812,0.352361262,162.9155273,132.4119568,29.27433586,FALSE,0.1,TRUE,3,28,,N,N
F11,SCr-338-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.37429428,33.02494812,0.352361262,104.5452652,132.4119568,29.27433586,FALSE,0.1,TRUE,3,29,,N,N
F12,SCr-338-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.03090286,33.02494812,0.352361262,129.7750702,132.4119568,29.27433586,FALSE,0.1,TRUE,3,29,,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,38.02464676,,5,,,FALSE,0.1,TRUE,3,39,,N,Y
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,38.02464676,,5,,,FALSE,0.1,TRUE,3,39,,N,Y
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.02464676,38.02464676,,5,,,FALSE,0.1,TRUE,3,34,,N,N
G4,SCr-334,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.83625412,32.15807724,0.303117305,275.3094788,227.5907745,44.0520134,FALSE,0.1,TRUE,3,27,,N,N
G5,SCr-334,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.19981003,32.15807724,0.303117305,218.9883728,227.5907745,44.0520134,FALSE,0.1,TRUE,3,28,,N,N
G6,SCr-334,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.43816376,32.15807724,0.303117305,188.4744873,227.5907745,44.0520134,FALSE,0.1,TRUE,3,29,,N,N
G7,SCr-334-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.97324371,33.56346893,0.405018896,71.70428467,94.82330322,23.87620735,FALSE,0.1,TRUE,3,30,,N,N
G8,SCr-334-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.16337967,33.56346893,0.405018896,119.3907547,94.82330322,23.87620735,FALSE,0.1,TRUE,3,30,,N,N
G9,SCr-334-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.55378342,33.56346893,0.405018896,93.37488556,94.82330322,23.87620735,FALSE,0.1,TRUE,3,30,,N,N
G10,SCr-339,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.49252129,30.4461689,0.110307761,641.5230103,661.5944824,46.73521042,FALSE,0.1,TRUE,3,26,,N,N
G11,SCr-339,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.32024765,30.4461689,0.110307761,715.0126343,661.5944824,46.73521042,FALSE,0.1,TRUE,3,27,,N,N
G12,SCr-339,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.52573586,30.4461689,0.110307761,628.2478638,661.5944824,46.73521042,FALSE,0.1,TRUE,3,26,,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H4,SCr-335,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.43387794,30.69195747,0.262384295,665.6500244,570.9717407,93.6254425,FALSE,0.1,TRUE,3,26,,N,N
H5,SCr-335,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.9584446,30.69195747,0.262384295,478.4359131,570.9717407,93.6254425,FALSE,0.1,TRUE,3,27,,N,N
H6,SCr-335,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.6835537,30.69195747,0.262384295,568.8292236,570.9717407,93.6254425,FALSE,0.1,TRUE,3,27,,N,N
H7,SCr-335-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.32479858,32.41231918,0.076800615,202.4173889,191.7168427,9.380350113,FALSE,0.1,TRUE,3,28,,N,N
H8,SCr-335-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.44368362,32.41231918,0.076800615,187.8206635,191.7168427,9.380350113,FALSE,0.1,TRUE,3,28,,N,N
H9,SCr-335-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.46847153,32.41231918,0.076800615,184.9124298,191.7168427,9.380350113,FALSE,0.1,TRUE,3,29,,N,N
H10,SCr-339-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.38718033,32.76104355,0.39174962,194.6220245,156.907486,37.80863571,FALSE,0.1,TRUE,3,28,,N,N
H11,SCr-339-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.72743607,32.76104355,0.39174962,157.0950165,156.907486,37.80863571,FALSE,0.1,TRUE,3,31,,N,N
H12,SCr-339-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.16851425,32.76104355,0.39174962,119.0054474,156.907486,37.80863571,FALSE,0.1,TRUE,3,29,,N,N
